keyword,volume,kd_percent,cpc,traffic_potential,competitor_top_position,cluster_id,first_keyword_group,intents,serp_features,source,gap_mode,priority_score,brand_fit,product_fit,winnability,notes,business_value,free_seeker,serp_intent,dr_top10_median,referring_domains_top10_median,weak_link_count,bid_verdict,bid_reason,has_aio,aio_completeness_score,aio_click_intent,aio_verdict,aio_reasoning,aio_body_source
ai generator porn,4400,56,,212000,4,,,informational|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai girls nude,4400,58,,17000,9,,,informational,,competitor_gap,missing,,8,7,,comp_consensus=1,3,false,informational,76.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai sex generator,4300,43,,8700,11,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,69,,1,FAIL,dr_gap_too_wide,,,,,,
futanari ai,4300,12,,2000,20,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational+commercial,66,,0,FAIL,dr_gap_too_wide,,,,,,
ai nsfw generator,4200,34,,42000,5,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,72,,0,FAIL,dr_gap_too_wide,,,,,,
ai lesbian porn,4100,35,,1000,5,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,71,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw ai free,3900,22,,41000,4,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,true,informational+commercial,84,,0,FAIL,dr_gap_too_wide,,,,,,
porn ai free,3900,58,,87000,5,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,true,informational,51.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai sex video,3800,51,,3900,5,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,79,,1,FAIL,dr_gap_too_wide,,,,,,
sext chat,3700,69,,135000,3,,,informational|commercial,,competitor_gap,missing,,8,8,,comp_consensus=1,3,false,informational+commercial,47,,1,FAIL,dr_gap_too_wide,,,,,,
ai deepthroat,3700,0,,1600,2,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,76.5,,0,FAIL,dr_gap_too_wide,,,,,,
sex chatbot,3600,61,,67000,1,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,77.5,,1,FAIL,dr_gap_too_wide,,,,,,
nsfw ai chat bot,3600,62,,35000,12,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,75.5,,0,FAIL,dr_gap_too_wide,,,,,,
free ai porn videos,3500,59,,96000,4,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,true,informational,75,,1,FAIL,dr_gap_too_wide,,,,,,
porn generator,3500,58,,137000,4,,,informational|commercial|transactional,,competitor_gap,missing,5.820,7,7,1.0,"traffic=7.1, win=1.0(kd=58,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,55.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai sex gif,3500,31,,1000,13,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,60,,0,FAIL,dr_gap_too_wide,,,,,,
nude ai girls,3500,52,,3400,1,,,informational|commercial|transactional,,competitor_gap,missing,,8,7,,comp_consensus=1,3,false,informational+commercial,76,,0,FAIL,dr_gap_too_wide,,,,,,
sex chat bot,3400,66,,67000,1,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,77.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai generated blowjob,3400,17,,5200,6,,,,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,hybrid,73,,0,FAIL,dr_gap_too_wide,,,,,,
ai nude girl,3400,27,,31000,3,,,informational|commercial|transactional,,competitor_gap,missing,,8,7,,comp_consensus=1,3,false,informational+commercial,80.5,,0,FAIL,dr_gap_too_wide,,,,,,
dirty chat,3200,54,,100,2,,,informational,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational,62,,1,FAIL,dr_gap_too_wide,,,,,,
romantic ai,3200,58,,29000,6,,,informational|commercial,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational+commercial,69,,0,FAIL,dr_gap_too_wide,,,,,,
ai sluts,3200,12,,1100,3,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational+commercial,50.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai porno,3200,60,,148000,4,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,72.5,,1,FAIL,dr_gap_too_wide,,,,,,
realistic ai porn,3100,9,,2900,3,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,78.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn vids,3100,48,,153000,4,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,81.5,,0,FAIL,dr_gap_too_wide,,,,,,
create porn ai,3100,50,,114000,4,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,61.5,,1,FAIL,dr_gap_too_wide,,,,,,
best ai porn videos,3100,55,,58000,4,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,81.5,,1,FAIL,dr_gap_too_wide,,,,,,
best ai porn generator,3100,61,,37000,12,,,informational|commercial|transactional,,competitor_gap,missing,5.617,7,7,1.0,"traffic=6.09, win=1.0(kd=61,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,81,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
roleplay chat,3000,49,,450,2,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,72,,1,FAIL,dr_gap_too_wide,,,,,,
girlfriend ai,3000,68,,53000,4,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=1,3,false,informational+commercial,64,,1,FAIL,dr_gap_too_wide,,,,,,
nsfw ai gen,3000,35,,5100,5,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,66,,0,FAIL,dr_gap_too_wide,,,,,,
ai image generator porn,3000,62,,87000,14,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
naughty ai,2900,17,,350,2,,,informational|commercial|transactional|branded,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational+commercial,70,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn generator free,2900,57,,80000,10,,,navigational|branded,,competitor_gap,missing,,7,7,,comp_consensus=1,3,true,navigational,51,,2,FAIL,serp_is_navigational,,,,,,
ai porn site,2900,51,,37000,13,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,81,,0,FAIL,dr_gap_too_wide,,,,,,
jerk chat,2800,55,,58000,7,,,informational,,competitor_gap,missing,6.555,7,8,3.0,"traffic=6.78, win=3.0(kd=55,wlc=5,DR21.0/ceil30); above_ceiling",3,false,informational,20.5,,5,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai anime porn,2800,37,,2800,3,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,78.5,,0,FAIL,dr_gap_too_wide,,,,,,
xxx ai,2800,64,,153000,5,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,74,,0,FAIL,dr_gap_too_wide,,,,,,
furry ai porn,2800,50,,4000,8,,,informational|transactional,,competitor_gap,missing,5.341,7,7,1.0,"traffic=4.7, win=1.0(kd=50,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational,63.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai naked women,2800,47,,24000,8,,,informational|transactional,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,72,,0,FAIL,dr_gap_too_wide,,,,,,
free nsfw ai generator,2500,34,,18000,6,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,true,informational+commercial,59.5,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw ai chatbots,2500,50,,23000,10,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai naked girl,2500,58,,25000,8,,,informational|transactional,,competitor_gap,missing,,8,5,,comp_consensus=1,2,false,informational,72.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai chat xxx,2400,69,,900,3,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
naked ai girl,2400,34,,20000,3,,,informational|commercial|transactional,,competitor_gap,missing,,8,5,,comp_consensus=1,2,false,informational+commercial,64.5,,0,FAIL,dr_gap_too_wide,,,,,,
best nsfw ai chat,2300,33,,36000,2,,,informational,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational,75,,1,FAIL,dr_gap_too_wide,,,,,,
ai sexbot,2300,48,,400,2,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,80.5,,0,FAIL,dr_gap_too_wide,,,,,,
best ai girlfriend,2300,58,,2400,1,,,informational|commercial,,competitor_gap,missing,,8,8,,comp_consensus=1,3,false,informational+commercial,91,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn girls,2300,59,,3500,7,,,informational,,competitor_gap,missing,,8,7,,comp_consensus=1,3,false,informational,78.5,,0,FAIL,dr_gap_too_wide,,,,,,
sexy chat,2200,54,,450,5,,,informational,,competitor_gap,missing,5.722,7,8,3.0,"traffic=2.61, win=3.0(kd=54,wlc=4,DR21.0/ceil30); above_ceiling",3,false,informational,28,,4,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai porn tube,2200,66,,90000,1,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,74,,0,FAIL,dr_gap_too_wide,,,,,,
ai anal,2200,13,,2400,6,,,commercial,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,commercial,82,,0,FAIL,dr_gap_too_wide,,,,,,
ai nude women,2200,49,,700,10,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai chatbot nsfw,2100,44,,351000,3,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
naked ai women,2100,54,,36000,7,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,69,,0,FAIL,dr_gap_too_wide,,,,,,
nude ai girl,2100,56,,7100,9,,,informational,,competitor_gap,missing,,8,7,,comp_consensus=1,3,false,informational,91.5,,0,FAIL,dr_gap_too_wide,,,,,,
sexy chat ai,2000,53,,1070000,3,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,55.5,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw ai bots,2000,46,,22000,6,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai asian porn,2000,31,,1000,3,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,75,,0,FAIL,dr_gap_too_wide,,,,,,
ai generated nsfw,2000,12,,42000,3,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,91,,0,FAIL,dr_gap_too_wide,,,,,,
ai boy,1900,30,,700,9,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational+commercial,75,,0,FAIL,dr_gap_too_wide,,,,,,
ai anal porn,1900,17,,2300,3,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,82,,0,FAIL,dr_gap_too_wide,,,,,,
18+ ai roleplay,60,68,,1070000,,,spicychat,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,45,,0,FAIL,dr_gap_too_wide,,,,,,
ai roleplay 18+,40,43,,936000,,,spicychat,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,65.5,,0,FAIL,dr_gap_too_wide,,,,,,
sexy ai roleplay,80,42,,534000,,,spicy chat ai,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,68.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai nsfw chatbot,250,38,0.6,400000,,,crushonai,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,71.5,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw ai girlfriend chat,150,59,,400000,,,crushonai,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,73,,0,FAIL,dr_gap_too_wide,,,,,,
free sexting bot,70,12,0.05,92000,,,sexchat,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=free,3,true,informational+commercial,75.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai sexting bot free,40,31,,68000,,,sexchat,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=free,3,true,informational+commercial,73.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend chat nsfw,100,66,,57000,,,girlfriendgpt,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,63.5,,0,FAIL,dr_gap_too_wide,,,,,,
what is ai girlfriend,100,20,,53000,,,ai girlfriend,informational,,seed_modifier,seed_modifier,,8,8,,,3,false,informational,91,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend pictures,100,67,0.6,53000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,6.220,8,8,1.0,"traffic=6.1, win=1.0(kd=67,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,51,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai girlfriend that can send pictures,50,67,0.6,50000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,51,,1,FAIL,dr_gap_too_wide,,,,,,
ai roleplay generator,350,12,0.8,43000,,,perchance ai chat,informational|branded,,seed_modifier,seed_modifier,,7,8,,mod=generator,3,false,informational,56,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend experience,150,68,,43000,,,ai girlfriend,informational,,seed_modifier,seed_modifier,,8,8,,,3,false,informational,73,,0,FAIL,dr_gap_too_wide,,,,,,
virtual girlfriend chatbot,70,52,,43000,,,ai girlfriend,informational|commercial,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,56.5,,1,FAIL,dr_gap_too_wide,,,,,,
chat ai roleplay,500,41,0.1,42000,,,joyland ai,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,63,,1,FAIL,dr_gap_too_wide,,,,,,
virtual girlfriend chat bot,100,57,,41000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,59,,1,FAIL,dr_gap_too_wide,,,,,,
interactive ai girlfriend,150,64,,39000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,6.196,8,8,1.0,"traffic=5.98, win=1.0(kd=64,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,62,,2,PASS,,true,,,RISKY,aio_present (presence-only); writer must differentiate vs AI Overview,serp_features
ai for nsfw images,60,46,,39000,,,ai porn generator,informational,,seed_modifier,seed_modifier,,7,7,,,3,false,informational,76,,1,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend love simulator,1300,61,0.2,38000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,6.222,8,8,1.0,"traffic=6.11, win=1.0(kd=61,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,73,,2,PASS,,true,,,RISKY,aio_present (presence-only); writer must differentiate vs AI Overview,serp_features
ai girlfriend chatbot online,150,60,0.8,38000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,62,,1,FAIL,dr_gap_too_wide,,,,,,
best nsfw chatbot,500,26,1.0,36000,,,nsfw chat ai,informational,,seed_modifier,seed_modifier,,7,8,,mod=best,3,false,informational,79,,1,FAIL,dr_gap_too_wide,,,,,,
best free nsfw chatbot,200,51,0.15,36000,,,nsfw chat ai,informational,,seed_modifier,seed_modifier,,7,8,,mod=best,3,true,informational,79.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai generate nsfw images,40,24,1.0,36000,,,nsfw image generator,informational,,seed_modifier,seed_modifier,,7,7,,,3,false,informational,70,,0,FAIL,dr_gap_too_wide,,,,,,
best adult chatbot,30,52,0.8,36000,,,free nsfw ai chat,informational|commercial,,seed_modifier,seed_modifier,,7,8,,mod=best,3,false,informational+commercial,79,,0,FAIL,dr_gap_too_wide,,,,,,
free nsfw chatbot,1100,24,0.3,35000,,,nsfw chat ai,informational|commercial,,seed_modifier,seed_modifier,,7,8,,mod=free,3,true,informational+commercial,73,,0,FAIL,dr_gap_too_wide,,,,,,
free ai nsfw chatbot,250,58,,35000,,,free nsfw ai chat,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,mod=free,3,true,informational+commercial,73,,0,FAIL,dr_gap_too_wide,,,,,,
ai adult chatbot,150,47,0.25,35000,,,nsfw chat ai,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,77.5,,0,FAIL,dr_gap_too_wide,,,,,,
romantic ai girlfriend,100,46,0.6,32000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,79,,0,FAIL,dr_gap_too_wide,,,,,,
adult chatbot ai,50,45,,32000,,,free nsfw ai chat,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,60,,0,FAIL,dr_gap_too_wide,,,,,,
build ai girlfriend,100,67,,31000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,6.527,8,8,3.0,"traffic=5.63, win=3.0(kd=67,wlc=3,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,59,,3,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
how to get an ai girlfriend,80,69,0.3,31000,,,ai girlfriend,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=how to,3,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend sex app,60,69,,31000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,68.5,,0,FAIL,dr_gap_too_wide,,,,,,
online ai girlfriend,60,65,0.2,31000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,6.147,8,8,1.0,"traffic=5.73, win=1.0(kd=65,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,49,,2,PASS,,true,,,RISKY,aio_present (presence-only); writer must differentiate vs AI Overview,serp_features
ai girlfriend bot,200,53,,29000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,64,,1,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend realistic,100,69,,29000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,56.5,,1,FAIL,dr_gap_too_wide,,,,,,
sexting bot online,50,24,,27000,,,ai sex chat,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,82.5,,1,FAIL,dr_gap_too_wide,,,,,,
best ai nsfw chatbot,100,37,,23000,,,nsfw ai chat,informational,,seed_modifier,seed_modifier,,7,8,,mod=best,3,false,informational,79.5,,0,FAIL,dr_gap_too_wide,,,,,,
hot virtual girlfriend,70,19,,22000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
completely free ai girlfriend,200,48,0.15,20000,,,ai girlfriend,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=free,3,true,informational+commercial,51,,1,FAIL,dr_gap_too_wide,,,,,,
best ai for nsfw images,50,35,1.1,20000,,,nsfw image generator,informational|commercial,,seed_modifier,seed_modifier,,7,7,,mod=best,3,false,informational+commercial,62,,0,FAIL,dr_gap_too_wide,,,,,,
best sexting bot,30,0,0.8,20000,,,ai sex chat,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=best,3,false,informational+commercial,87,,1,FAIL,dr_gap_too_wide,,,,,,
ai that generates nsfw images,30,32,0.35,20000,,,nsfw image generator,informational|commercial,,seed_modifier,seed_modifier,,7,7,,,3,false,informational+commercial,76,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend images,150,41,0.03,19000,,,ai girlfriend,informational,,seed_modifier,seed_modifier,,8,8,,,3,false,informational,61,,0,FAIL,dr_gap_too_wide,,,,,,
sexting bot ai,70,5,0.09,19000,,,ai sex chat,informational|commercial,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,92,,0,FAIL,dr_gap_too_wide,,,,,,
best free ai girlfriend,1300,30,0.45,18000,,,free ai girlfriend generator,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=best,3,true,informational+commercial,91,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend text,200,46,0.4,18000,,,ai girlfriend free,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,66,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend chat bot,150,52,0.35,18000,,,ai girlfriend free,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,68,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend porn,900,48,,17000,,,ai girlfriend porn,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,90.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend no filter,250,25,0.07,16000,,,muah ai,informational,,seed_modifier,seed_modifier,,8,8,,mod=no filter,3,true,informational,68,,1,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend review,100,19,,16000,,,ai girlfriend,informational|commercial,,seed_modifier,seed_modifier,,8,8,,mod=review,3,false,informational+commercial,92.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai waifu hentai,100,44,,15000,,,betterwaifu,informational,,seed_modifier,seed_modifier,,8,8,,,3,false,informational,81.5,,1,FAIL,dr_gap_too_wide,,,,,,
how to create ai girlfriend,80,63,0.7,15000,,,nomi ai,informational|commercial,,seed_modifier,seed_modifier,6.440,8,8,3.0,"traffic=5.2, win=3.0(kd=63,wlc=3,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,51,,3,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai roleplay chat bot,100,61,,14000,,,ai chat roleplay,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,63,,0,FAIL,dr_gap_too_wide,,,,,,
text ai girlfriend,90,52,,14000,,,ai girlfriend,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,59,,1,FAIL,dr_gap_too_wide,,,,,,
anime ai roleplay,60,26,,13000,,,ai character chat free,informational|commercial|transactional,,seed_modifier,seed_modifier,7.252,7,8,6.3,"traffic=6.93, win=6.33(kd=26,wlc=2,DR21.0/ceil30)",3,false,informational+commercial,79,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai roleplay chats,100,68,,12000,,,ai chat roleplay,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,45,,0,FAIL,dr_gap_too_wide,,,,,,
free ai waifu chat,30,20,,12000,,,hi ai,informational,,seed_modifier,seed_modifier,,8,8,,mod=free,3,true,informational,60,,1,FAIL,dr_gap_too_wide,,,,,,
ai waifu girlfriend,30,31,,12000,,,hi ai,informational|commercial,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,51,,1,FAIL,dr_gap_too_wide,,,,,,
generate nsfw images,100,39,0.6,11000,,,nsfw image generator,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,7,,,3,false,informational+commercial,76,,1,FAIL,dr_gap_too_wide,,,,,,
ai roleplay bots,100,56,0.7,8600,,,ai chat roleplay,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,53,,0,FAIL,dr_gap_too_wide,,,,,,
ai roleplay,7200,16,0.15,8500,,,roleplay ai,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,95,,0,FAIL,dr_gap_too_wide,,,,,,
ai roleplay chatbot,600,69,0.15,8500,,,roleplay ai,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,66,,1,FAIL,dr_gap_too_wide,,,,,,
ai roleplay bot,500,68,0.3,8500,,,roleplay ai,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,53,,0,FAIL,dr_gap_too_wide,,,,,,
virtual girlfriend,1500,62,0.5,8300,,,ai girlfriend free,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,51,,1,FAIL,dr_gap_too_wide,,,,,,
adult chatbot,1700,49,0.7,7800,,,erotic ai,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,60.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai sexting bot,450,70,0.6,7800,,,erotic ai,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai roleplay chatbots,200,53,0.7,7700,,,ai roleplay chat,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,44.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai roleplay app,150,61,,7600,,,ai roleplay,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,94.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai roleplay apps,400,8,0.7,7300,,,ai roleplay,informational|commercial,,seed_modifier,seed_modifier,,7,8,,,3,false,informational+commercial,94.5,,1,FAIL,dr_gap_too_wide,,,,,,
virtual girlfriend apps,200,64,0.5,7300,,,ai girls,informational|commercial,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,72.5,,0,FAIL,dr_gap_too_wide,,,,,,
adult chatbot free,30,47,,7200,,,erotic ai,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,8,,mod=free,3,true,informational+commercial,53,,1,FAIL,dr_gap_too_wide,,,,,,
ai waifu chat,350,28,,6700,,,hi ai,informational,,seed_modifier,seed_modifier,,8,8,,,3,false,informational,65.5,,1,FAIL,dr_gap_too_wide,,,,,,
anime chat ai waifu chatbot,150,15,0.25,6700,,,hi ai,informational|commercial|transactional,,seed_modifier,seed_modifier,,8,8,,,3,false,informational+commercial,72,,1,FAIL,dr_gap_too_wide,,,,,,
erotic roleplay ideas,100,56,,6000,,,sex roleplay ideas,informational,,seed_modifier,seed_modifier,,7,8,,,3,false,informational,79,,0,FAIL,dr_gap_too_wide,,,,,,
ai generated nsfw images,150,23,0.05,5200,,,ai generated nsfw,informational|commercial|transactional,,seed_modifier,seed_modifier,,7,7,,,3,false,informational+commercial,84,,0,FAIL,dr_gap_too_wide,,,,,,
ai waifu chat free,90,37,,5200,,,hiwaifu,informational,,seed_modifier,seed_modifier,,8,8,,mod=free,3,true,informational,55.5,,0,FAIL,dr_gap_too_wide,,,,,,
